wave,cl5_398645626ccs_f0030004ccam02013p3,cl5_398646038ccs_f0030004ccam03013p3
324.19101,263000000000.0,33600000000.0
324.237,432000000000.0,55000000000.0
324.28299,389000000000.0,50400000000.0
324.32901,250000000000.0,33600000000.0
324.375,181000000000.0,28100000000.0
324.41901,147000000000.0,26900000000.0
324.465,120000000000.0,24500000000.0
324.51099,82000000000.0,14300000000.0
324.55701,40700000000.0,6530000000.0
324.60199,21300000000.0,1640000000.0
324.64801,12500000000.0,-14711560.0
324.69501,15700000000.0,1770000000.0
324.73999,39300000000.0,9980000000.0
324.78601,57600000000.0,18100000000.0
324.83099,107000000000.0,23100000000.0
324.87601,259000000000.0,38100000000.0
324.922,318000000000.0,44700000000.0
324.96799,218000000000.0,28500000000.0
325.01401,132000000000.0,17300000000.0
325.06,86000000000.0,9690000000.0
325.10599,61200000000.0,5940000000.0
325.15201,64000000000.0,5580000000.0
325.19601,109000000000.0,11300000000.0
325.242,158000000000.0,17700000000.0
325.28699,208000000000.0,23000000000.0
325.33301,270000000000.0,31700000000.0
325.379,233000000000.0,27200000000.0
325.42401,195000000000.0,24200000000.0
325.47101,204000000000.0,28700000000.0
325.517,163000000000.0,23000000000.0
325.561,102000000000.0,15100000000.0
325.60699,70700000000.0,12100000000.0
325.65302,52500000000.0,9540000000.0
325.698,36000000000.0,6430000000.0
325.74399,28700000000.0,5670000000.0
325.789,28000000000.0,6500000000.0
325.83499,29600000000.0,8510000000.0
325.88199,54200000000.0,18100000000.0
325.92599,79400000000.0,30100000000.0
325.97198,81600000000.0,31500000000.0
326.017,68000000000.0,25600000000.0
326.06299,75400000000.0,25300000000.0
326.108,92900000000.0,27100000000.0
326.15399,204000000000.0,41700000000.0
326.20001,332000000000.0,58400000000.0
326.246,292000000000.0,51300000000.0
326.29099,186000000000.0,35900000000.0
326.336,122000000000.0,25000000000.0
326.38199,99900000000.0,21900000000.0
326.427,81600000000.0,20100000000.0
326.47299,75300000000.0,21300000000.0
326.51801,75400000000.0,23300000000.0
326.564,82400000000.0,26800000000.0
326.60901,79200000000.0,26800000000.0
326.655,64800000000.0,24400000000.0
326.70001,54600000000.0,21200000000.0
326.746,48000000000.0,19100000000.0
326.79099,38800000000.0,15800000000.0
326.83701,32200000000.0,13400000000.0
326.88199,24900000000.0,10000000000.0
326.92801,20000000000.0,8770000000.0
326.97299,16100000000.0,7370000000.0
327.01901,13500000000.0,6350000000.0
327.064,16700000000.0,7360000000.0
327.10999,36100000000.0,11200000000.0
327.155,69200000000.0,17500000000.0
327.20099,112000000000.0,22000000000.0
327.246,117000000000.0,22000000000.0
327.29199,94100000000.0,18700000000.0
327.336,64500000000.0,15000000000.0
327.38199,49200000000.0,12000000000.0
327.42801,43800000000.0,11500000000.0
