wave,scam_0012_0668002890_477_cl1_scam15210_maaz_________________01p01
255.89013671875,78529716224.0
255.94171142578125,114974023680.0
255.9932861328125,154134200320.0
256.0448303222656,200400683008.0
256.0964050292969,237946454016.0
256.14794921875,267561009152.0
256.1994934082031,373171322880.0
256.25103759765625,639135907840.0
256.3025817871094,1036947357696.0
256.3541259765625,1324141510656.0
256.4056396484375,1163497963520.0
256.4571838378906,750442643456.0
256.5086975097656,375622107136.0
256.5602111816406,130787336192.0
256.6117248535156,128644685824.0
256.6632080078125,210723209216.0
256.7147216796875,284653256704.0
256.7662048339844,319882559488.0
256.8177185058594,261563252736.0
256.86920166015625,151535517696.0
256.920654296875,92092628992.0
256.9721374511719,51419860992.0
257.02362060546875,31613540352.0
257.0750732421875,53627932672.0
257.12652587890625,84944125952.0
257.177978515625,106328096768.0
257.2808837890625,6362508800.0
257.33233642578125,8897174528.0
257.3837585449219,65856290816.0
257.4351806640625,156076670976.0
257.4866027832031,263658127360.0
257.5894470214844,407670816768.0
257.640869140625,419689857024.0
257.6922607421875,484015112192.0
257.74365234375,465037754368.0
257.7950439453125,332009406464.0
257.846435546875,245736898560.0
257.8978271484375,211458818048.0
257.94921875,119769907200.0
258.0005798339844,18763167744.0
258.0519714355469,-3639136768.0
258.10333251953125,-4420235776.0
258.1546936035156,9315243008.0
258.2060241699219,72566259712.0
258.25738525390625,171132141568.0
258.3087463378906,279400742912.0
258.3600769042969,333109854208.0
258.4114074707031,235697831936.0
258.4627380371094,147290046464.0
258.5140686035156,277638348800.0
258.61669921875,964281696256.0
258.6679992675781,1274042646528.0
258.7193298339844,1063635189760.0
258.7706298828125,422821494784.0
258.8218994140625,130411192320.0
258.8731994628906,153627738112.0
258.92449951171875,132576444416.0
258.97576904296875,59620061184.0
259.02703857421875,28932597760.0
259.07830810546875,67711344640.0
259.12957763671875,156675260416.0
259.18084716796875,277983166464.0
259.2320861816406,435660718080.0
259.2833557128906,534000336896.0
259.3345947265625,556933775360.0
259.3858337402344,604535455744.0
259.43707275390625,540830367744.0
259.4883117675781,385647280128.0
259.5395202636719,201025634304.0
259.6419677734375,94789656576.0
259.69317626953125,145876402176.0
259.744384765625,303873490944.0
259.79559326171875,673813430272.0
259.8467712402344,1341566746624.0
259.8979797363281,2311357726720.0
260.0003356933594,3315977945088.0
260.051513671875,2814161453056.0
260.1026916503906,1401247629312.0
260.15386962890625,278862200832.0
260.25616455078125,24062787584.0
260.3073425292969,18210543616.0
260.3584899902344,29293432832.0
260.46075439453125,87895089152.0
260.51190185546875,177598087168.0
260.5630187988281,335449554944.0
260.6141357421875,553820618752.0
260.6652526855469,827835482112.0
260.71636962890625,1087647645696.0
260.7674865722656,1325808615424.0
260.8185729980469,1311585337344.0
260.86968994140625,688813113344.0
260.9207763671875,196611850240.0
260.97186279296875,128167337984.0
261.02294921875,174202290176.0
261.0740051269531,262871334912.0
261.1250915527344,483544039424.0
261.1761474609375,900328194048.0
261.22723388671875,1396348944384.0
261.2782897949219,1743203991552.0
261.329345703125,1369198690304.0
261.38037109375,801919729664.0
261.4314270019531,777310699520.0
261.4824523925781,870260015104.0
261.53350830078125,520462041088.0
261.58453369140625,131158654976.0
261.63555908203125,45814464512.0
261.6865539550781,111083806720.0
261.7375793457031,274251284480.0
261.78857421875,464796844032.0
261.839599609375,649883615232.0
261.8905944824219,580102717440.0
261.94158935546875,262494306304.0
261.9925842285156,119338024960.0
262.0435485839844,119046496256.0
262.09454345703125,157671030784.0
262.1455078125,229041668096.0
262.19647216796875,277745729536.0
262.2474365234375,286317903872.0
262.29840087890625,227220307968.0
262.349365234375,121137127424.0
262.4002990722656,109204897792.0
262.4512634277344,185922240512.0
262.502197265625,329953345536.0
262.5531311035156,601687457792.0
262.60406494140625,946997166080.0
262.6549987792969,1152299171840.0
262.7059020996094,819983155200.0
262.7568054199219,400098033664.0
262.8077392578125,398539653120.0
262.858642578125,616426110976.0
262.9095458984375,846211776512.0
262.9604187011719,805332385792.0
263.0113220214844,624998744064.0
263.06219482421875,860391407616.0
263.11309814453125,1442935865344.0
263.1639709472656,2087012794368.0
263.21484375,2403559014400.0
263.26568603515625,1626947059712.0
263.3165588378906,548173053952.0
263.367431640625,137960669184.0
263.41827392578125,76210929664.0
263.4691162109375,42007629824.0
263.57080078125,21816989696.0
263.6216125488281,23491391488.0
263.6724548339844,25137694720.0
263.7232666015625,30795220992.0
263.7740783691406,39439323136.0
263.82489013671875,44869046272.0
263.8757019042969,61917499392.0
263.926513671875,49030991872.0
263.977294921875,37936562176.0
264.0281066894531,33472108544.0
264.0788879394531,28948942848.0
264.1296691894531,25166538752.0
264.1804504394531,21331099648.0
264.2312316894531,17548550144.0
264.281982421875,13061753856.0
264.332763671875,7868544000.0
264.3835144042969,4207331584.0
264.43426513671875,4257011456.0
264.4850158691406,7489623552.0
264.5357360839844,11144135680.0
264.58648681640625,12083202048.0
264.6372375488281,8841111552.0
264.6879577636719,2442682112.0
264.7386779785156,-4750427648.0
264.7893981933594,-10275863552.0
264.8401184082031,-12156794880.0
264.89080810546875,-9513292800.0
264.9415283203125,-3067920384.0
264.9922180175781,5281451520.0
265.0935974121094,18308128768.0
265.144287109375,19965396992.0
265.1949768066406,19764375552.0
265.2456359863281,20201355264.0
265.2962951660156,21413941248.0
265.34698486328125,20980459520.0
265.39764404296875,17825349632.0
265.4482727050781,13273160704.0
265.4989318847656,9171238912.0
265.5495910644531,7429430272.0
265.6002197265625,8186293760.0
265.6508483886719,9061244928.0
265.70147705078125,8878533632.0
265.7521057128906,9472680960.0
265.802734375,13027854336.0
265.8533630371094,19198320640.0
265.9039611816406,25116983296.0
265.9545593261719,28969805824.0
266.0051574707031,32059867136.0
266.0557556152344,35862011904.0
266.1063537597656,39602237440.0
266.1569519042969,40522358784.0
266.20751953125,40851181568.0
266.2580871582031,30483902464.0
266.30865478515625,36481359872.0
266.3592224121094,61325123584.0
266.4097900390625,114604531712.0
266.4603576660156,214955229184.0
266.5108947753906,339261161472.0
266.61199951171875,308811628544.0
266.71307373046875,308430012416.0
266.7635803222656,329799401472.0
266.8141174316406,200455290880.0
266.8646240234375,66867736576.0
266.9151306152344,23898075136.0
266.9656677246094,31705683968.0
267.0161437988281,24730976256.0
267.066650390625,19905984512.0
267.1171569824219,19684044800.0
267.1676330566406,22487599104.0
267.2181091308594,29081438208.0
267.2685852050781,34348619776.0
267.3190612792969,49222045696.0
267.3695373535156,34906976256.0
