sol_range,n_samples,Al2O3_RMSE_mean,Al2O3_RMSE_std,CaO_RMSE_mean,CaO_RMSE_std,FeOT_RMSE_mean,FeOT_RMSE_std,K2O_RMSE_mean,K2O_RMSE_std,MgO_RMSE_mean,MgO_RMSE_std,MnO_RMSE_mean,MnO_RMSE_std,Na2O_RMSE_mean,Na2O_RMSE_std,SiO2_RMSE_mean,SiO2_RMSE_std,TiO2_RMSE_mean,TiO2_RMSE_std,min_sol
1313-1413,0,,,,,,,,,,,,,,,,,,,1313
1413-1513,3,4.521049956970739,0.14772607021092118,0.5853178167246006,1.6543401372641844,0.5624000624219591,1.2356922328340663,0.33243176739248664,0.08171564394321067,0.04024105491360588,2.0468294823610265,0.020384118083865733,0.6012940878947011,1.8233821638249825,0.572109477881345,0.5738441065048421,0.46201588721867737,0.050088225187359406,0.043752011530378866,1413
1513-1613,4,5.327500000000001,0.11,1.0799999999999996,1.5504249999999997,0.46750000000000014,1.0150000000000001,0.31750000000000006,0.075,0.03724338282763073,2.2881342472270596,0.05033222956847164,1.0697974886242099,1.0400268245739306,0.4362243306679105,1.5056449337963662,0.4089315346118468,0.03696845502136473,0.024623458066481637,1513
1613-1713,4,5.897967160123884,0.11478612521644589,1.2366483130317314,1.3308967118689434,0.6213068120045858,2.024845973715146,0.3700031127275246,0.06656984716188122,0.03980007504436682,3.51595570281163,0.0709144598117516,0.9666443329896635,0.8826580839233507,0.5649222310568635,1.267779572180993,0.43050001404869154,0.051165814744401024,0.03988270547398483,1613
1713-1813,3,6.423910312668444,0.15951088302024494,1.2554653644497389,1.6064860312101665,0.681446603773522,2.050642807028586,0.4245204956981339,0.08135185203157075,0.05246424948537828,3.087347476748932,0.029315819912678405,1.1117599012379544,0.8561354316286098,0.5155053727249589,1.6524969340282851,0.369220155325134,0.03387940755901922,0.02933998961535107,1713
1813-1913,5,4.854000000000001,0.17200000000000001,1.6179999999999999,2.1346599999999993,0.7580000000000002,1.5120000000000005,0.316,0.066,0.03498773402194964,2.251817044077959,0.10425929215182693,1.5592850925985284,1.7966679974330255,0.7187976071189996,1.6577605375928088,0.2715326867984772,0.015165750888103105,0.026062846431802365,1813
1913-2013,1,7.770000000000003,0.2,1.8599999999999994,1.7680999999999987,0.6900000000000004,1.5299999999999994,0.9999999999999998,0.15000000000000002,0.06878631375080697,,,,,,,,,,1913
2013-2113,5,4.231896933143482,0.1691785552830815,1.5742122801109633,2.0146443329605193,0.7763972166245624,2.2129904696055016,0.34604788189603913,0.06353717515879966,0.03432049225676775,2.5073662345304664,0.10534832955681678,1.563280084129138,1.5003908830993264,0.4662447881982603,1.7163016858332412,0.374334181306064,0.053654302866126366,0.02643215267110747,2013
2113-2213,6,4.803333333333334,0.23,1.2066666666666672,1.6312833333333323,0.8233333333333333,2.0633333333333335,0.5183333333333334,0.49833333333333335,0.02991607488702389,3.0749222212385585,0.17017637908946115,0.8120755301489304,1.3309726299464866,0.403567425180312,1.9613736682913505,0.5566117737406089,1.0939728820526893,0.02054725054106361,2113
2213-2313,5,5.038863248046243,0.23493695297784623,1.5889952927346915,1.4739796081540688,0.6829651575096779,2.98729840854178,0.2941581854850862,0.07042761686714138,0.039303821293722986,3.1536322644469994,0.17191796054181357,1.4162953256943767,0.6697762170549716,0.35330332864937175,2.8858552065037304,0.32103536003087263,0.047169253524079933,0.02553398048788036,2213
2313-2413,4,4.882041091195145,0.14647419578003543,1.1503318648760539,2.55964690015857,0.6911007662722766,1.853001706479672,0.48780776406404414,0.08176776695296636,0.039839489817044896,2.0448308108927136,0.10429324024494173,1.3928324142555841,2.0289522687037675,0.546326801902637,1.4595134695203158,0.6923809985057242,0.07980419610960635,0.03451176716476396,2313
